,3x12,3x13,3x14,3x15,3x16,4x6,4x7,4x8,4x9,4x10,4x11,4x12,4x13,4x14,4x15,4x16,4x17,4x18,4x19,4x20,4x21,4x22,5x4,5x5,5x6,5x7,5x8,5x9,5x10,5x11,5x12,5x13,5x14,5x15,5x16,5x17,5x18,5x19,5x20,5x21,5x22,5x23,5x24,5x25,6x3,6x4,6x5,6x6,6x7,uniform_random,log_norm_random,norm_random,model_actuals,Dummy_MostFreq,SGD_Classifier,SVM_Linear,GBM
12228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028088009855085527,0.8239840585611081,0.2518023777257096,0,1,0,0,0
16241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,254,72,0,0,0,0,0,0,0,0,0,0,0.3522085244329899,2.8941561382245102,-1.7213210865396478,0,1,0,1,0
6584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3417142409251074,1.1539459463707853,1.757076993566362,0,1,0,0,0
18812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5734120037191905,0.8900221487517677,0.13427286785738743,1,1,1,1,1
50936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,40,124,194,255,254,144,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04032796919129589,1.8862757866183995,-0.7487156981368296,0,1,1,1,1
46855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5469346465816087,1.7355370701110622,-1.3633167365053385,0,1,0,1,0
25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9596764614810429,2.966457637287221,-0.4074348357011104,1,1,0,1,1
53167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,174,252,23,0,0,0,0,0,0,0,0,0,0.9749737356051936,3.181340477620016,-1.712057100182416,1,1,0,1,1
48139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07819363275943081,3.487601617935324,1.8304673283436481,0,1,0,1,0
33086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,229,103,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13273568804182012,2.5075871967023606,1.1951865379081201,1,1,0,1,1
11518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.825827232715529,0.14879471039334344,0.35168350390496644,0,1,1,1,0
29083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20416846956070267,0.7807084992027973,-0.7184447156672308,0,1,1,1,1
38565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.896742969590987,3.3343553101994434,-0.4201396659637887,0,1,0,1,0
41689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,188,159,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.714394476373141,0.9949349162857932,1.2255302668984163,0,1,0,1,0
13250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7123173853484459,7.898695180087641,0.40987147183512335,1,1,0,1,1
25789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38,0.2885953840402524,7.130978529470747,0.6792458353777985,0,1,1,1,0
59419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,252,252,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5894870012675174,1.2926376102508046,1.5682357354238075,1,1,0,1,1
21492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,218,255,85,0,0,0,0,0,0,0,0,0,0,0,0,0.20063637576842885,0.35001518082951966,-0.5322283698759279,1,1,1,1,1
11476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,125,225,254,254,255,167,109,0,0,0,0,0,0,0,0,0,0,0,0,0.9551960826754393,2.4623350017757426,-0.6991712800684893,1,1,1,1,1
27564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9859852188768375,4.006667148449589,-0.348152888498483,0,1,0,0,0
355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,206,229,44,0,0,0,0,0,0,0,0,0,0,0.24182381226891314,0.5681157345458607,-0.41768262685992497,0,1,1,1,1
1151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,182,221,14,13,0,0,0,0,0,0,0,0,0.8174150469326382,1.2029213059736343,-1.28069076803951,0,1,0,1,0
34388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3397916333891402,1.5721838784767566,1.4498291685831965,0,1,0,0,0
36740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8663300081386676,6.906683028550873,1.2990129848171343,1,1,0,1,1
1017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6497097972724232,6.220129600708696,-0.39883193223412966,1,1,0,1,1
57997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9874132026583695,3.7287960571879912,-0.10273803453494462,0,1,0,0,0
26554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0.8202847626793255,0.5688072897263237,-0.4374732040021573,0,1,0,1,0
11047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,248,121,0,0,0,0,0,0,0,0,0,0.03957407870481933,0.729456100227334,0.07534104347240499,0,1,0,0,0
10453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,191,255,255,255,255,255,255,191,64,0,0,0,0,0,0,0,0,0,64,0.9302943774643191,0.5341704233518269,-0.6122699094753304,1,1,0,1,1
23245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5906694860431373,0.35339753031462595,-1.583205718910237,0,1,0,1,0
46113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,218,30,0,0,0,0,0,0,0,0,0,0,0,0.017696667566920454,1.2272386531870139,0.1756004850150539,1,1,1,1,1
8937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,185,228,40,0,0,0,0,0,0,0,0,0,0,0,0.17081055387567556,5.658910622460955,1.1389660541597515,1,1,0,1,1
6904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,191,129,29,7,0,0,0,0,0,0,0,0,0,0,0,0,0.33253347681967027,0.30422933137578967,0.5189537005505496,0,1,0,0,0
8815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,255,215,130,19,0,0,0,0,0,0,0,0,0,0,0.29368401122895205,1.6111217871183339,0.6595731814047939,1,1,0,1,1
7040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,155,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5281851857324045,0.35038077903990344,-0.8126967120331516,1,1,1,1,1
30984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1289942195366538,0.2177349244139235,-1.2430879444238876,0,1,1,1,0
43991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,133,214,193,0,0,0,0,0,0,0,0,0,0,0,0,0.8834546865355218,0.23081555490967534,0.45383289934740456,0,1,0,0,0
13604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9394987246308856,1.0547213469724375,-0.6667506964618604,1,1,1,1,1
35699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,254,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05777852010649431,0.7053340914937697,-1.7558092257836695,1,1,1,1,1
40743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,130,155,255,163,130,130,130,27,7,1,0,0,0,0,0,0,0,0,0,0,0.34861445309490957,0.5442805559608517,-1.4548554960152602,1,1,0,1,1
27924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,158,1,0,0,0,0,0,0,0,0,0.06496338570976423,0.8567217304646058,0.4436783431850223,1,1,1,1,1
28157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,138,222,253,253,255,253,253,56,0,0,0,0,0,0,0,0,0,0,0,0,0.5562627223402936,0.8453526580689745,0.5591349340868039,0,1,0,1,0
40745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,34,34,111,144,250,254,167,27,0,0,0,0,0,0,0,0,0,0,0,0.18592695982590723,0.7044180289685382,0.21709141979859853,1,1,0,1,1
48860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,155,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10328901220912579,0.4420434533597223,-0.29722783739318626,1,1,0,1,1
6586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6776476198593883,1.0315738009177169,-0.008002765936271574,0,1,0,0,0
37207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9395882607769732,0.39614238321732076,-1.0247014467449773,0,1,1,1,0
32964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4420283525791413,1.269170425423255,-0.3342162087085429,0,1,0,0,0
55866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,125,162,154,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3955046353953341,0.8830297600100927,0.8721027950881388,0,1,1,1,0
46173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5446222656601232,1.8733155389776046,1.7872929855719804,0,1,0,1,0
57222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,253,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4497593016682059,0.7607128382530662,-0.24901869203322224,1,1,1,1,1
491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.932498926465997,1.1200738565525385,-0.6318251120434626,0,1,0,1,0
30681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9517019095853542,1.3634823388496373,-1.147194496984944,1,1,0,1,1
40947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,232,254,254,254,255,255,152,121,38,34,0,0,0,0,0,0,0,0,0,0,0,13,0.4989604466058213,1.7960993840069972,0.7087343090825493,0,1,0,1,0
26072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,255,170,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4775998481367757,0.2779901823713652,-0.17956510299380776,0,1,0,0,0
49324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,128,255,128,64,0,0,0,0,0,0,0,0,0,0,0,0,0.9810314906752206,1.8819040662448887,0.3619168476445866,1,1,0,0,1
13531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,254,156,74,59,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36721229045390047,5.189624647130804,1.9264587470289047,0,1,0,0,0
43933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5345349376753595,0.15933107147148667,-0.5917975103835268,0,1,1,1,0
2876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,237,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5205845410318523,0.8420512757444912,1.3099146993143438,1,1,1,1,1
26824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07902639436785952,1.1538097898025277,0.6092482874463634,1,1,1,1,1
45400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19823912643530883,9.194298519870818,0.31689114982259836,1,1,1,1,1
29823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6234087414820726,0.33993537924338363,1.10447077850955,1,1,0,1,1
