,3x14,3x15,3x16,4x7,4x8,4x9,4x10,4x11,4x12,4x13,4x14,4x15,4x16,4x17,4x18,4x19,4x20,4x21,4x22,4x23,5x5,5x6,5x7,5x8,5x9,5x10,5x11,5x12,5x13,5x14,5x15,5x16,5x17,5x18,5x19,5x20,5x21,5x22,5x23,5x24,5x25,6x3,6x4,6x5,6x6,6x7,6x8,6x9,6x10,uniform_random,log_norm_random,norm_random,model_actuals,Dummy_MostFreq,SGD_Classifier,SVM_Linear,GBM
40427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,101,101,101,171,254,156,58,0,0,0,0,0,0,0,0,0,0,0,0,0.5382375343860856,1.9572748137925093,-1.7631628450297676,1,0,0,0,1
37110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38863808831458646,2.3666163823850725,0.500567885203981,1,0,1,1,1
26154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,141,170,255,255,255,198,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301270215740833,0.16584700213828538,0.7266703750068183,0,0,0,0,0
46807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,113,193,254,253,254,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12294666355736827,0.3338462111861038,-0.30405681077767505,0,0,1,0,0
37229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,161,229,255,254,211,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,243,0.3855995670896425,8.432663126402794,-1.9355722519497383,1,0,1,1,1
1734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9568604546828473,3.8381375985090678,0.9495352910637029,1,0,0,0,1
36551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6541741572182553,0.39480037067531226,-1.3451575687003277,1,0,1,1,1
1486,0,0,0,0,0,0,24,236,254,157,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,238,139,234,247,161,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3682627025758448,0.35923313020182823,0.40822480473528694,1,0,0,1,1
51768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3657324933364099,0.8013435528607676,0.385030078154895,1,0,0,0,1
19516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,255,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22823424263458658,0.8542567688357154,-0.04600269439790374,1,0,0,0,1
44138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3571570571968674,0.15799504774485848,0.3811753061511109,0,0,0,0,0
51776,0,0,0,0,0,0,0,0,109,198,172,172,137,23,0,0,0,0,0,0,0,0,0,0,0,0,47,244,157,184,236,243,220,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2527694559309397,2.712692397590393,0.36888590250590564,0,0,0,0,0
43739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,141,178,153,204,253,253,253,242,60,0,0,0,0,0,0,0,0,0,0,0,0,76,253,0.18692741628843645,0.34853068309917346,0.13310603684017006,1,0,1,1,1
13643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27923674429883183,0.31479917417661385,1.1977526648149932,1,0,0,0,1
35221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5735453867491557,0.9090248723500531,0.7431291416167558,0,0,0,0,0
56575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,253,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.828981784703541,2.3362025213504465,1.5678718221066366,1,0,1,0,1
22179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,253,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07790497046139877,1.191381028461002,0.7487031362201942,1,0,0,0,1
38516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,253,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252385467762824,19.601039732119425,-0.45897845335121906,1,0,1,0,1
14514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.685867880743144,1.835370893900136,0.3479095217110775,0,0,0,0,0
52234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,145,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6158512277601227,2.779579431411234,-0.10610248842955022,1,0,0,0,1
58091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35404846970731196,0.7380451315702654,-1.3162821484197003,0,0,0,0,0
55998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,7,7,7,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,254,254,254,254,180,0.3912623101185687,0.5852578797744439,0.45474458150582425,0,0,0,0,0
25880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,166,253,253,192,116,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,252,0.9718058446919958,5.961170304128869,-1.65691452531945,1,0,0,0,1
