,3x14,3x15,3x16,4x6,4x7,4x8,4x9,4x10,4x11,4x12,4x13,4x14,4x15,4x16,4x17,4x18,4x19,4x20,4x21,4x22,4x23,5x4,5x5,5x6,5x7,5x8,5x9,5x10,5x11,5x12,5x13,5x14,5x15,5x16,5x17,5x18,5x19,5x20,5x21,5x22,5x23,5x24,5x25,6x4,6x5,6x6,6x7,6x8,6x9,6x10,6x11,6x12,6x13,6x14,6x15,6x16,6x17,6x18,6x19,6x20,6x21,6x22,6x23,6x24,6x25,7x4,7x5,7x6,7x7,7x8,7x9,7x10,7x11,7x12,uniform_random,log_norm_random,norm_random,model_actuals,Dummy_MostFreq,SGD_Classifier,SVM_Linear,GBM
38225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,255,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,253,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2742580087308337,0.39188423680104634,-0.3308394826703424,1,0,1,1,1
28378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,236,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,224,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.983630399768386,2.7395249063901614,-0.2748168431680242,1,0,1,0,1
8291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,237,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,181,253,231,60,0,0,0,0,0,0,0,0,0,0,0,0.6432419659237895,0.41937106169960764,-0.5160362685607115,1,0,1,1,1
24789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.11306655853313241,0.13953107650913454,2.166662104344153,0,0,1,0,0
59460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,252,252,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,177,250,0.10529856283754258,0.2528409464439272,2.248987223786719,0,0,0,0,0
51710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,215,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9979543646746317,1.9235495137904377,-0.8794866089345047,1,0,1,1,1
26291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,94,205,227,254,255,254,254,199,194,70,2,0,0,0,0,0,0,0,0,0,0,41,254,254,254,247,246,250,0.44201507593931033,0.5926575021168483,-0.3605585658658759,1,0,1,1,1
29986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,180,255,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6212881884999865,1.6864392543388393,0.48242532957708584,1,0,1,1,1
15486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,88,214,254,255,215,0.3159629062786953,0.4122033971131291,0.5028742466049936,1,0,1,1,1
9221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,255,224,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49693290657079725,1.800673854919,-0.7564649350247552,0,0,0,0,0
32703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,150,202,254,255,254,163,42,0,0,0,0,0,0,0,0,0,0,0,0,105,204,252,253,0.4566002274574458,0.36364472806167947,1.2457959471242213,1,0,1,1,1
48174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,85,81,172,200,232,147,45,13,0,0,0,0,0,0,0,0,0,0,0,0,46,180,254,254,254,254,254,254,254,183,15,0,0,0,0,0,0,0,0,0,0,0,152,254,252,249,165,0.862111625358939,0.48113211384876925,0.8623393574349651,1,0,0,0,1
